file,required,short_text,reference,automated_validation,validated
a-e-eng.txt,FALSE,NA,a-e,NA,NA
a-e-eng.txt,FALSE,booklet explains how to comply with the attachment of earnings order (aeo) that you ha,a-e,FALSE,NA
a-e-eng.txt,FALSE,make a deduction from what is left (the attachable earnings ) after you have deducted:,a-e,FALSE,NA
a-e-eng.txt,FALSE,r the purpose of calculating deductions attachment of earnings orders fall into two ca,a-e,FALSE,NA
a-e-eng.txt,FALSE,"ion rate of 25 calculate your employees attachable earnings, eg. 190 set aside his pro",a-e,FALSE,NA
a-e-eng.txt,FALSE,"ion rate of 25 calculate your employees attachable earnings, eg 170 set aside his prot",a-e,FALSE,NA
a-e-eng.txt,FALSE,"ion rate of 25 calculate your employees attachable earnings, eg 140 as the protected e",a-e,FALSE,NA
a-e-eng.txt,FALSE,"ger or shorter than that specied in the attachment of earnings order, calculate the nu",a-e,FALSE,NA
a-e-eng.txt,FALSE,u should calculate your employees total attachable earnings for the pay period multipl,a-e,FALSE,NA
a-e-eng.txt,FALSE,an ask the court to make a consolidated attachment of earnings order (caeo). this will,a-e,FALSE,NA
a-e-eng.txt,FALSE,ation is available in a handbook called attachment orders: a guide for employers avail,a-e,FALSE,NA
a1-eng.txt,TRUE,cate which type of order(s) you are and attach the draft order with this application r,a1,TRUE,TRUE
a100-eng.txt,TRUE,"my child), who is the child to whom the attached certified copy of the entry in the re",a100,TRUE,TRUE
a101a-bil_doc.txt,TRUE,"my child), who is the child to whom the attached certified copy of the sydd ynghlwm o'",a101a,TRUE,TRUE
a104-eng.txt,TRUE,"my child), who is the child to whom the attached birth certificate relates (1) , in fa",a104,TRUE,TRUE
a105-eng.txt,TRUE,"my child), who is the child to whom the attached birth certificate relates (1) , to (2",a105,TRUE,TRUE
a107-eng.txt,TRUE,"my child), who is the child to whom the attached birth certificate relates ( see note",a107,TRUE,TRUE
a107-eng.txt,TRUE,the adopted children register should be attached and not a certified copy of the origi,a107,NA,NA
a20-eng.txt,TRUE,u will nd a list of the documents to be attached on the application form a58. if you a,a20,NA,TRUE
a20-eng.txt,TRUE,nditions applies. you will also need to attach a brief statement of the facts you are,a20,NA,NA
a21-eng.txt,TRUE,you will find a list of documents to be attached on the application form a59. you may,a21,NA,TRUE
a5-eng.txt,TRUE,ption act 1976. a copy of that order is attached.2.the transfer would be in the best i,a5,NA,TRUE
a50-bil.txt,FALSE,been made or applied for. please do not attach to this application copies of adoption,a50,NA,FALSE
a50-bil.txt,TRUE,eich cais yn berthnasol.note: you must attach to your application a brief summary of,a50,TRUE,NA
a50-notes-eng.txt,TRUE,"completing the formimportantif you are attaching any order of the high court, county",a50-notes,TRUE,TRUE
a51-bil.txt,TRUE,hod)cases concerning a related child or attach a copy of the ) y math o orchymyn (neu,a51,TRUE,TRUE
a51-eng.txt,TRUE,note 2 a copy of the placement order is attached. see note 3about other orders or proc,a51,NA,TRUE
a51-notes-eng.txt,TRUE,completing the formimportantif you are attaching any order of the high court or the f,a51-notes,TRUE,TRUE
a52-bil.txt,TRUE,option.a copy of the placement order is attachedsee note 5gweler nodyn 9gwarcheidwad y,a52,NA,TRUE
a52-eng.txt,TRUE,cation a copy of the placement order is attached part 5 statement of truth if you atte,a52,NA,TRUE
a52-nodiadau-a52-notes-bil.txt,TRUE,completing the formimportantif you are attaching any order of the high court or a cou,a52-nodiadau-a52-notes,TRUE,TRUE
a53-bil.txt,TRUE,lication (please give details below and attach a copy of the order to your application,a53,TRUE,TRUE
a53-eng.txt,TRUE,mber type of order date of order(please attach a copy of the order to your application,a53,TRUE,TRUE
a53-nodiadau-a53-notes-bil.txt,TRUE,option and children act 2002.if you are attaching any order of the high court or a cou,a53-nodiadau-a53-notes,TRUE,TRUE
a53-notes-eng.txt,TRUE,der section 51a of that act. if you are attaching any previous court order to your app,a53-notes,TRUE,TRUE
a54-notes-eng.txt,TRUE,ption and children act 2002. if you are attaching any order of the high court or the f,a54-notes,TRUE,TRUE
a55-bil.txt,TRUE,rchname of your contact in the agencyor attach a copy of the placement ordername of co,a55,TRUE,TRUE
a55-eng.txt,TRUE,lacement order (please give details and attach a copy of the placement order)about oth,a55,TRUE,TRUE
a55-notes-eng.txt,TRUE,to change a childs surname. if you are attaching any order of the high court or the f,a55-notes,TRUE,TRUE
a56-bil.txt,TRUE,lacement order (please give details and attach a copy of the placement order)name of c,a56,TRUE,TRUE
a56-eng.txt,TRUE,lacement order (please give details and attach a copy of the placement order)see note,a56,TRUE,TRUE
a56-nodiadau-a56-notes-bil.txt,TRUE,ild from the united kingdom. if you are attaching any order of the high court or the f,a56-nodiadau-a56-notes,TRUE,TRUE
a57-bil.txt,TRUE,ourt or family court court). if you are attaching an order made by a requests or court,a57,TRUE,TRUE
a58-bil.txt,TRUE,ical practitioner on (give date(s)) are attached to this application.declarationsin re,a58,NA,TRUE
a58-bil.txt,TRUE,are sending to explain the difference. attach two photocopies of each of the followin,a58,TRUE,NA
a58-eng.txt,TRUE,s born on and is the person to whom the attached of live births/register of adopted ch,a58,TRUE,TRUE
a58-eng.txt,TRUE,lfare of the child requires it.you must attach a brief statement of facts (and two cop,a58,TRUE,NA
a58-eng.txt,TRUE,ary evidence to explain the difference. attach two photocopies of each of the followin,a58,TRUE,NA
a58-nodiadau-a58-notes-bil.txt,TRUE,the register of live births.if you are attaching any order of the high court or famil,a58-nodiadau-a58-notes,TRUE,TRUE
a58-notes-eng.txt,TRUE,vention adoption order). fullif you are attaching any order of the high court or famil,a58-notes,TRUE,TRUE
a59-eng.txt,TRUE,s born on and is the person to whom the attached regarding the childs identity relates,a59,TRUE,TRUE
a59-nodiadau-a59-notes-bil.txt,TRUE,m is the state of origin the if you are attaching any order of the high court or the f,a59-nodiadau-a59-notes,TRUE,TRUE
a59-notes-eng.txt,TRUE,r of marriages or the births.if you are attaching any order of the high court or the f,a59-notes,TRUE,TRUE
a60-bil.txt,TRUE,as born onand is the person to whom the attached of live births/register of adopted ch,a60,TRUE,TRUE
a60-nodiadau-a60-notes-bil.txt,TRUE,or ^ ^ ^ ^^^ civil partner. you should attach to your application any part 2 about th,a60-nodiadau-a60-notes,TRUE,TRUE
a61-bil.txt,TRUE,lfare of the child requires it.you must attach a brief statement of facts (and two of,a61,TRUE,TRUE
a61-notes-eng.txt,TRUE,islands or the isle of man. if you are attaching any order of the high court or famil,a61-notes,TRUE,TRUE
a62-bil.txt,TRUE,on a copy of the convention adoption is attached see note 9see note 11 rhan 5 datgania,a62,NA,TRUE
a62-eng.txt,TRUE,on a copy of the convention adoption is attached see note 9see note 11 see note 11 par,a62,NA,TRUE
a62-notes-eng.txt,TRUE,"ion 67(3) does not apply, or if you are attaching any order of the high court or a fam",a62-notes,TRUE,TRUE
a63-bil.txt,TRUE,"y proceedings that have been completed, attach a copy of ) plentyn (e.e. chwaer, hanne",a63,TRUE,TRUE
a63-eng.txt,TRUE,doption or convention adoption order is attached made on (date)ora copy of the oversea,a63,NA,TRUE
a64-eng.txt,FALSE,er (this will not include the documents attached to that form)the adoption order or an,a64,NA,TRUE
a64a-bil.txt,FALSE,er (this will not include the documents attached to that form) the parental order or a,a64a,NA,TRUE
a64a-eng.txt,TRUE,formation from court records you should attach a full certied copy of the entry in the,a64a,TRUE,TRUE
adm1-eng.txt,FALSE,of rm or company) particulars of claim (attached)(to follow) full name name of claiman,adm1,NA,TRUE
adm16a-eng.txt,FALSE,serve this form. see notes for guidance attached to the claim form. adm16a defence to,adm16a,NA,FALSE
adm1a-eng.txt,FALSE,form *(and the particulars of the claim attached to this claim form) are true. * i am,adm1a,NA,TRUE
application-for-anonymity-notes-(iat)-eng.txt,FALSE,e the box provided for this purpose and attach additional sheets should you need to. i,application-for-anonymity-notes-(iat),FALSE,FALSE
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.txt,FALSE,measures; and a national pilot of wider attachment of earnings orders and deductions f,attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004,FALSE,FALSE
attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.txt,FALSE,implementation as specified in the 1971 attachment of earnings act (see point 8 below,attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004,FALSE,NA
b1-eng_doc.txt,TRUE,"nal sheets of paper if you need to, and attach them to this form. in this box, give al",b1,NA,TRUE
c1-bil.txt,TRUE,d whose name you have put in paragraph 2attach a copy of the relevant order and give:,c1,TRUE,TRUE
c1-eng.txt,TRUE,whose name you have put in paragraph 2 attach a copy of the relevant order and give:,c1,TRUE,TRUE
c100-bil.txt,TRUE,"ass.gov.uk/parentingplan if yes, please attach the plan to this application form 3c. a",c100,NA,TRUE
c100-bil.txt,TRUE,noplease tick if additional sheets are attached. please attach a copy of any relevant,c100,TRUE,NA
c100-bil.txt,TRUE,an agreement (consent order) and if so attach the draft order to this form. tick whet,c100,TRUE,NA
c100-bil.txt,TRUE,he box on page 3 to make this clear and attach the draft order with this c100 form. gw,c100,TRUE,NA
c100-eng.txt,FALSE,ed. if there is not enough space please attach separate sheets clearly showing the det,c100,FALSE,FALSE
c100-eng.txt,TRUE,"ass.gov.uk/parentingplan if yes, please attach the plan to this application form 64. u",c100,NA,NA
c100-eng.txt,TRUE,n) please tick if additional sheets are attached. please attach a copy of any relevant,c100,TRUE,NA
c100-eng.txt,TRUE,he box on page 1 to make this clear and attach the draft order with this c100 form. re,c100,TRUE,NA
c110-bil.txt,FALSE,al work chronology (a succinct summary) attached to follow if to follow please give re,c110,NA,TRUE
c110-bil.txt,TRUE,mpleted this form ensure that you have: attached copies of any relevant documents. sig,c110,TRUE,NA
c110-eng.txt,FALSE,e page 16annex1. social work chronology attached to follow (a succinct summary) if to,c110,NA,TRUE
c110a-eng.txt,FALSE,nex documents 1. social work chronology attached to follow (a succinct summary) if to,c110a,NA,TRUE
c110a-eng.txt,TRUE,and on which the local authority relies attached to follow if to follow please give re,c110a,NA,NA
c110a-eng.txt,TRUE,mpleted this form ensure that you have: attached copies of any annex documents. signed,c110a,TRUE,NA
c1a-bil.txt,TRUE,e any copies of the above orders please attached them to this form.adran 2 - manylion,c1a,NA,TRUE
c1a-bil.txt,TRUE,(condential contact details) note: only attach this form if you want to withhold your,c1a,NA,NA
c1a-eng.txt,TRUE,e any copies of the above orders please attached them to this form do you have a solic,c1a,NA,TRUE
c2-eng.txt,FALSE,ed. if there is not enough space please attach separate sheets. cafcass/cafcass cymru,c2,FALSE,FALSE
c2-eng.txt,TRUE,to issue an application check you have attached copies of the form c100 application a,c2,TRUE,NA
c23-eng.txt,TRUE,[a named person]][a power of arrest be attached to the exclusion requirement for a pe,c23,NA,TRUE
c5-bil.txt,TRUE,"ts, state the date(s) and author(s) and attach a copy.3. sail y caisy sail yw bod plen",c5,TRUE,TRUE
c5-bil.txt,TRUE,t provide a copy of the application and attached documents for each of the respondents,c5,NA,NA
c5-eng.txt,TRUE,"ts, state the date(s) and author(s) and attach a copy. postcode3please list any docume",c5,TRUE,TRUE
c51-bil.txt,TRUE,"have been completed/commenced (please, attach a copy of the nal order )hyd y gwyddoch",c51,TRUE,TRUE
c51-bil.txt,TRUE,"eclaration we declare that certicate is attached, or certicate is attached, or relatio",c51,NA,NA
c51-eng.txt,TRUE,"have been completed/commenced (please, attach a copy of the nal order )relationship t",c51,TRUE,TRUE
c63-bil.txt,TRUE,"hood is in question. yes if yes, please attach a copy of any relevant order and give a",c63,TRUE,TRUE
c63-bil.txt,TRUE,s nac oes16what to do nowcheck you have attached copies of any relevant orders (as per,c63,TRUE,NA
c63-eng.txt,TRUE,he page 11what to do now check you have attached copies of any relevant orders (as per,c63,TRUE,TRUE
c64-bil.txt,TRUE,gofynion11what to do nowcheck you have attached a certied copy of your birth certicat,c64,NA,TRUE
c64-eng.txt,TRUE,the page 8what to do now check you have attached a certied copy of your birth certicat,c64,NA,TRUE
c65-bil.txt,TRUE,provide a copy of this application and attached documents for each of the respondents,c65,NA,TRUE
c66-bil.txt,TRUE,"ddalenni ychwanegol.yes if yes, please attach a copy of any relevant orderdetails bel",c66,TRUE,TRUE
c66-eng.txt,TRUE,noplease tick if additional sheets are attached.9 if there are more than 2 respondent,c66,FALSE,FALSE
c66-eng.txt,TRUE,h you about the requirements 12you must attach one of the following documents to this,c66,TRUE,NA
c67-eng.txt,TRUE,noplease tick if additional sheets are attached.9respondents rst name middle name(s),c67,FALSE,FALSE
c67-eng.txt,TRUE,"tice, strand, london wc2a 2ll. you must attach one of the following documents to this",c67,TRUE,NA
c78-bil.txt,FALSE,d arrangements orderc78 application for attachment of a warning notice to a child arra,c78,NA,TRUE
c78-bil.txt,TRUE,ts.please tick if additional sheets are attached.enwr llys lle maer achosion yn cael e,c78,FALSE,NA
c78-eng.txt,TRUE,d arrangements orderdd /mm /yyyy please attach a copy of the order where available.1.,c78,TRUE,TRUE
c78-eng.txt,FALSE,ts.please tick if additional sheets are attached.name of child(ren) involved in other,c78,FALSE,NA
c79-bil.txt,TRUE,rbynebau neu dystiolaeth arall 14please attach a copy of the enforcement order if 7c.,c79,TRUE,TRUE
c79-eng.txt,TRUE,the applicationname of child(ren)please attach a copy of the order where available.to,c79,TRUE,TRUE
c79-eng.txt,TRUE,plain why you are making this claim and attach any receipts or other evidence see cb5,c79,NA,NA
c79-eng.txt,TRUE,"or time period should be amended.please attach a copy of the enforcement order, if ava",c79,TRUE,NA
c79-eng.txt,FALSE,"ts.please tick if additional sheets are attached.name of child(ren)if yes, please prov",c79,FALSE,NA
c79-eng.txt,TRUE,ave completed all parts of the form and attached all the relevant documents: a copy of,c79,NA,NA
capsbacs1-eng.txt,FALSE,ps helpdesk on 0300 123 1057 payment of attachment of earnings orders by bacs thank yo,capsbacs1,FALSE,FALSE
capsbacs3-eng.txt,FALSE,"urrently in force (if necessary, please attach a separate sheet) note: this form is fo",capsbacs3,FALSE,FALSE
cb4-eng.txt,TRUE,ese details on form c8 which you should attach to your application. the court staff wi,cb4,TRUE,TRUE
cb5-eng.txt,FALSE,o an existing child arrangements order. attaching a warning notice to a child arrangem,cb5,NA,TRUE
certificate-of-loss-eng.txt,TRUE,"ess, or local benefit office, stamp; or attach it to an original compliment slip or sh",certificate-of-loss,NA,TRUE
ch1-eng_doc.txt,TRUE,"of issues, preferably agreed, should be attached to the draft directions so as to assi",ch1,NA,TRUE
ch1-eng_doc.txt,TRUE,"to expert evidence, the parties should attach a list of issues, preferably agreed. tr",ch1,NA,NA
ch1-eng_doc.txt,FALSE,form of summary of precedent h. this is attached for information only at this stage. i,ch1,NA,NA
ch14-eng_doc.txt,FALSE,ch have been allowed are set out in the attached schedule and with the interest on the,ch14,NA,TRUE
ch14-eng_doc.txt,FALSE,iven by the testator are set out in the attached schedule and with the interest on the,ch14,NA,NA
ch15-eng_doc.txt,FALSE,r sale () the property described in the attached first schedule (“the property”) be so,ch15,NA,TRUE
ch19-eng_doc.txt,FALSE,p consist of the items specified in the attached schedule the schedule (1) the leaseho,ch19,NA,TRUE
ch2-eng_doc.txt,FALSE,e court file [initialled by the master][attached to the application notice dated (date,ch2,NA,TRUE
ch26-eng_doc.txt,FALSE,having agreed the terms set out in the attached schedule the court pronounces for/aga,ch26,NA,TRUE
ch27-eng_doc.txt,FALSE,"testamentary documents specified in the attached schedule to masters’ appointments, gr",ch27,NA,TRUE
ch30-eng_doc.txt,FALSE,he deceased on [date] is set out in the attached schedule () the costs of the applicat,ch30,NA,TRUE
ch31-eng_doc.txt,FALSE,ving agreed to the terms set out in the attached schedule it is by consent ordered tha,ch31,NA,TRUE
ch32-eng_doc.txt,FALSE,the terms of compromise set out in the attached schedule and consented to this order,ch32,NA,TRUE
ch35-eng_doc.txt,FALSE,act 1975 the property specified in the attached schedule (being part of the net estat,ch35,NA,TRUE
ch37-eng_doc.txt,TRUE,erved by the claimant on the defendants attach lodgment schedule service of the order,ch37,NA,TRUE
ch7-eng_doc.txt,FALSE,court of justice in accordance with the attached claim form 2) you are or may be one o,ch7,NA,TRUE
ch8-eng_doc.txt,FALSE,e of judgment/order) a copy of which is attached to this notice 2) from the time of th,ch8,NA,TRUE
child-support-how-to-appeal-(england)-eng.txt,FALSE,re that there are some responsibilities attached to being a representative. the hearin,child-support-how-to-appeal-(england),NA,TRUE
child-support-how-to-appeal-(england)-eng.txt,FALSE,usion. the importance that the tribunal attaches to evidence may be affected if the wi,child-support-how-to-appeal-(england),NA,NA
cic-guide-1996-eng.txt,FALSE,e classified in one of the tariff bands attached to the scheme. minor injuriessuch as,cic-guide-1996,NA,FALSE
cic-guide-2001-eng.txt,FALSE,o be included in oneof the tariff bands attached to the scheme. any criminal injury wi,cic-guide-2001,NA,FALSE
comp-8-eng_doc.txt,TRUE,ted in the witness statement in support attached to this application. (* delete this p,comp-8,NA,TRUE
control-order-eng_doc.txt,FALSE,of your claim in the box below. you may attach additional sheets of paper if required.,control-order,FALSE,FALSE
control-order-eng_doc.txt,FALSE,nder the human rights act 1998. you may attach additional sheets of paper if required.,control-order,FALSE,NA
cop-dla-eng.txt,FALSE,ailed statement of grounds set out belowattachedare you making an interim application?,cop-dla,NA,FALSE
cop-dla-eng.txt,TRUE,re than one previous application please attach the information about other previous ap,cop-dla,NA,NA
cop-dol10-eng.txt,TRUE,fy the nature of the order you seek and attach a draft. duration of the order sought i,cop-dol10,TRUE,TRUE
cop-dol10-eng.txt,TRUE,ch is identied within the application.i attach form cop3 or other evidence of capacity,cop-dol10,NA,NA
cop-dol10-eng.txt,TRUE,"ion 10aa and provide details, including attaching statements.181. people who have been",cop-dol10,NA,NA
cop-dol10-eng.txt,FALSE,the body of the application form or in attached documents.failure to provide the info,cop-dol10,NA,NA
cop-gn2-eng.txt,TRUE,"ed (in the form of a witness statement, attaching documents as exhibits where necessar",cop-gn2,NA,TRUE
cop-gn3-eng.txt,TRUE,"ders made by the court, which should be attached to your statement. to download the fo",cop-gn3,NA,TRUE
cop1-eng.txt,TRUE,ght and reasons for the urgency you can attach draft interim order/ directions 1.2do y,cop1,NA,TRUE
cop10-eng.txt,TRUE,ith this application notice. if you are attaching any written evidence please use the,cop10,TRUE,TRUE
cop1c-eng.txt,TRUE,annex must be submitted with cop11.2 i attacha copy of the order appointing a deputy,cop1c,NA,TRUE
cop1d-eng.txt,TRUE,r. mrs.missms.other(b)applicant 2 1.2 i attacha copy of the order appointing you deput,cop1d,NA,TRUE
cop1e-eng.txt,TRUE,.missms.other (b) applicant 21.2 please attach if applicablea copy of the order appoin,cop1e,NA,TRUE
cop1e-eng.txt,FALSE,relevant exhibits if necessary evidence attached2.2 if joint deputy for property and a,cop1e,NA,NA
cop1f-eng.txt,FALSE,relevant exhibits if necessary evidence attached3the statement of truth is to be signe,cop1f,NA,TRUE
cop20a-eng.txt,FALSE,"re true. note:no other forms need to be attached with this form. however, it may assis",cop20a,NA,FALSE
cop22-eng.txt,TRUE,r my belief are as follows: document(s) attachedif your belief is based upon medical o,cop22,NA,TRUE
cop24-eng.txt,TRUE,court then it should be included in or attached to this form. if the court requires t,cop24,NA,TRUE
cop25-eng.txt,TRUE,afdavit then it must be included in or attached to this form. only the following may,cop25,NA,TRUE
cop35-eng.txt,TRUE,with this appellants notice. if you are attaching any written evidence please use the,cop35,TRUE,TRUE
cop5-eng.txt,TRUE,ment to provide your evidence. evidence attached4section 4 attending court hearings4.1,cop5,NA,TRUE
cop7-bil.txt,TRUE,ans the lpa made by the donor. evidence attached ^ wneud aa). ^ ^er. rhoddwr. * maer o,cop7,NA,TRUE
cop7-eng.txt,TRUE,with this application form. if you are attaching any written evidence please use the,cop7,TRUE,TRUE
criminal-injuries-compensation-scheme-1996-eng.txt,FALSE,"ation act 1995 (c.53), hereby makes the attachedcriminal injuries compensation scheme,",criminal-injuries-compensation-scheme-1996,NA,TRUE
criminal-injuries-compensation-scheme-2001-eng.txt,FALSE,"sation act 1995 (c.53),hereby makes the attached criminal injuries compensation scheme",criminal-injuries-compensation-scheme-2001,NA,TRUE
cs-a1-eng.txt,TRUE,dvice (details at the end of the form). attach any evidence/additional sheets if neces,cs-a1,TRUE,TRUE
cs-a3-eng.txt,TRUE,nd require you to act quickly. have you attached a copy of the decision under appeal?,cs-a3,NA,TRUE
cs-a4-eng.txt,TRUE,", please state which language. have you attached a copy of the decision under appeal?",cs-a4,NA,TRUE
cs-a90-eng.txt,TRUE,ca listpova listyes noyes no5. have you attached a copy of the decision under appeal?,cs-a90,NA,TRUE
cs-a91-eng.txt,TRUE,"er, give details in section f) have you attached a copy of the decision under appeal?",cs-a91,NA,TRUE
d11-bil.txt,TRUE,yn dda. awr munud hours minutes please attach a draft copy of the order you are apply,d11,TRUE,TRUE
d11-bil.txt,TRUE,any order you are applying for must be attached to your application. the draft should,d11,TRUE,NA
d186-eng.txt,TRUE,ese things. the form d10/d510 should be attached to the statement and marked as an exh,d186,NA,TRUE
d190-eng.txt,FALSE,ump-sum payment or a pension-sharing or attachment order. this leaet is for you if you,d190,FALSE,FALSE
d252-bil.txt,TRUE,"ument eg. order, judgment ) dated (copy attached) i have prepared my bill of costs for",d252,NA,TRUE
d254-eng.txt,FALSE,ault costs certicate i certify that the attached notice of commencement was served on,d254,NA,TRUE
d508-cym.txt,FALSE,"ompleting this form, read carefully the attached notes for guidance.in the county cour",d508-cym,NA,TRUE
d50b-bil.txt,FALSE,he facts stated in this application and attached statement are true *i am duly authori,d50b,NA,TRUE
d50c-bil.txt,TRUE,eu manylion yma.) dd/mm/bbbb you should attach this form to a completed form a1 when i,d50c,TRUE,TRUE
d50c-eng.txt,TRUE,ropriate boxes) dd /mm /yyyy you should attach this form to a completed form a1 when i,d50c,TRUE,TRUE
d50d-bil.txt,TRUE,which they propose to rely. you should attach this form to a completed form a1 when i,d50d,TRUE,TRUE
d50e-bil.txt,TRUE,his application and evidence of this is attached. the respondent has not consented to,d50e,NA,TRUE
d50j-bil.txt,TRUE,vidence attached) no (other evidence is attached supporting the persons intention of a,d50j,NA,TRUE
d50k-bil.txt,TRUE,llawn enw ffyrm cyfreithiwr y ceisydd i attach further evidence of the calculation ato,d50k,NA,TRUE
d50k-eng.txt,FALSE,"ethods, as it considers appropriate: an attachment of earnings order a third party deb",d50k,FALSE,FALSE
d70-bil.txt,FALSE,mine the status of a couple you have an attached documents on the attorney general at,d70,NA,TRUE
d70-bil.txt,FALSE,gun dd/mm/copies of the application and attached documents were served on the attorney,d70,NA,NA
d70-eng.txt,FALSE,serve copies of the application and the attached documents on the attorney general at,d70,NA,TRUE
d70-eng.txt,FALSE,dd/mm/yyyycopies of the application and attached documents were served on the attorney,d70,NA,NA
d8-bil.txt,TRUE,"arriage, since you got married you must attach a copy of your change of name deed or o",d8,TRUE,TRUE
d8-bil.txt,TRUE,on y briodas/bartneriaeth silyou should attach your marriage or civil partnership cert,d8,TRUE,NA
d8-bil.txt,FALSE,er pension sharing/compensation sharing/attachment order os ydych yn anghytuno gydach,d8,FALSE,NA
d8-eng.txt,TRUE,ents to this address. page 6 you should attach your marriage or civil partnership cert,d8,TRUE,TRUE
d8-eng.txt,FALSE,pension sharing/ compensation sharing/ attachment order these decisions are called 'n,d8,FALSE,NA
d8-nodiadau-d8-notes-bil.txt,TRUE,with the seal of the court). if you are attaching an order made by a family proceeding,d8-nodiadau-d8-notes,TRUE,TRUE
d80a-bil.txt,TRUE,"rely as evidence of adultery, you must attach a copy of this statement and tick the r",d80a,TRUE,TRUE
d80a-eng.txt,TRUE,"ment of service, a copy of which i have attached to this statement and marked a, as th",d80a,NA,TRUE
d80b-bil.txt,TRUE,"he acknowledgement of service, you must attach a copy to this statement and tick the r",d80b,TRUE,TRUE
d80c-bil.txt,TRUE,the acknowledgement of service you must attach a copy to this statement and tick the r,d80c,TRUE,TRUE
