file,requried,short_text
222545.txt,T,answered all of the questions you have enclosed bus/train tickets/receipts you have si
251964.txt,T,ensure you obtain receipts and also enclose all used tickets with your application
251964.txt,T,met where used tickets or a receipt is enclosed.
251964.txt,T,re complete • the declaration is signed enclosed for visits already made • supporting d
426558.txt,T,r i confirm the following documents are enclosed: certified copy of the death certifica
426590.txt,F,please see the enclosed list of acceptable witnesses before se
426601.txt,T,way of order/acceptance dated which is enclosed.
426601.txt,T,"nt/defendant/beneficiary, who died on i enclose a sealed copy of the grant of probate/l"
426601.txt,T,i am the beneficiary in this matter and enclose an office copy of the will and grant of
443730.txt,F,ve provided proof of my identity i have enclosed the required fee i understand that thi
443730.txt,F,e provided proof of my identity: i have enclosed the required fee: i understand that th
522571.txt,T,and address of the local authority and enclose a copy of the documentation. c) persons
522571.txt,T,t boxes to show what documents you have enclosed please send photocopies of any documen
522571.txt,F,NA
522572.txt,T,and address of the local authority and enclose a copy of the documentation. c) persons
522572.txt,T,t boxes to show what documents you have enclosed please send photocopies of any documen
522572.txt,F,NA