file,short_text
5138-eng_doc.txt,aking the application and the necessary supporting documents should be submitted with the 
5138-eng_doc.txt,"ot believe that the completed form, and supporting documents, provide all the information "
a20-eng.txt,kes or omissions in your application or supporting documents that need to be corrected; if
a21-eng.txt,ors or omissions in your application or supporting documents that need to be corrected; wh
a58-nodiadau-a58-notes-bil.txt,"n for the difference, and a copy of any supporting documents (such as the deed).the occupa"
a58-notes-eng.txt,"n for the difference, and a copy of any supporting documents (such as the deed).the occupa"
a59-nodiadau-a59-notes-bil.txt,"n for the difference, and a copy of any supporting documents (such as the deed).note 3 a c"
a59-notes-eng.txt,"n for the difference, and a copy of any supporting documents (such as the deed).a conventi"
a61-nodiadau-a61-notes-bil.txt,"n for the difference, and a copy of any supporting documents (such as the deed).the occupa"
a61-notes-eng.txt,"n for the difference, and a copy of any supporting documents (such as the deed).note 2a61 "
cop-dla-eng.txt,ate//namename position or 9section 10 - supporting documentsstandard authorisation best in
cop-gn1-eng.txt,d: cop1 application form cop1a annex a: supporting information for property and affairs ap
cop-gn2-eng.txt,ns cop1 application form cop1d annex d: supporting information for applications to appoint
cop-gn4-eng.txt,iven: a copy of the application and any supporting documents a blank copy of the cop5 form
cop1d-eng.txt,"solicitor, trust corporation or deputy) supporting documents including:(a) in respect of a"
cop35-eng.txt,tement form.evidence attached8section 7 supporting documents7.1 to support your appeal you
cop35-eng.txt,"ve completed your appellants notice and supporting documents, you should take, or send the"
cop36-eng.txt,e note 6) evidence in support section 7 supporting documents title of documentreason not s
cop42-eng.txt," original and one copy of all forms and supporting documents), it will issue it by putting"
cop42-eng.txt,ation type idapplication type forms and supporting documents app01 relating to property an
d11-bil.txt,NA
d11-eng.txt,NA
d8-nodiadau-d8-notes-bil.txt,on petition (04.14) crown copyright 2014supporting notes for guidance on completing a divo
d8d-nodiadau-d8d-notes-bil.txt,partnership (01.14) crown copyright 2014supporting notes for guidance on completing a peti
d8n-nodiadau-d8n-notes-bil.txt,civil and family court fees d8n (notes) supporting notes for guidance on completing a null
ex306-eng.txt,hey may include: instructions to send a supporting document to the court and to the other 
ex340-eng.txt,ude enough copies of the notice and the supporting documents as indicated in the guidance 
ex340-eng.txt,"r to the appellants notice, and provide supporting documents, which they must also send to"
ex660-notes-eng.txt,NA
ex725-eng.txt,he claim. this may include any relevant supporting documents where appropriate. how much w
fe6-eng.txt, additional copy of the application and supporting documents to be returned for service. w
fe7-eng.txt, additional copy of the application and supporting documents to be returned for service. w
form-202-eng.txt,"or permission to appeal, the bundle and supporting documents will be passed to a judge. ge"
form-202-eng.txt,"nts notice is led, a copy of it and any supporting documents must be served on the appella"
form-p10-eng_doc.txt, statement of facts relied on section 7 supporting documents if you do not have a document
form-p10-eng.txt, nov 2011 5 product code t116 section 7 supporting documents if you do not have a document
form-p10-guidance-notes-eng.txt,n support of your application.section 7 supporting documentsdo not delay filing your appli
form-p9-eng_doc.txt, of facts relied on section 7 section 7 supporting documents if you do not have a document
form-p9-eng.txt, nov 2011 4 product code t115 section 7 supporting documents if you do not have a document
form-p9-guidance-notes-eng.txt,n support of your application.section 7 supporting documentsdo not delay filing your appli
form-ta-eng_doc.txt,"stitution, the list of members, and any supporting documents, will be sent to the landlord"
fp161-eng.txt,NA
fp161a-eng.txt, to a term of imprisonment. section 12: supporting documents if appealing to the high cour
fp162-eng.txt,NA
fp162a-eng.txt,ismissed as it is out of time. section 9supporting documentsyou may have additional docume
fp162a-eng.txt,ondent. send or take the notice and any supporting documents or bundles to the family divi
fp244a-eng.txt, sucient copies of your application and supporting documentation. you will need to submit 
iaft-1-eng.txt, you should provide a reference and any supporting documents. failure to do so may result 
iaft-5-eng.txt, you should provide a reference and any supporting documents. failure to do so may result 
jr1-eng.txt,ve reasons jr1(t&c) (11.14) 5 section 8 supporting documents you must enclose a copy of th
jr1-guidance-eng_doc.txt,l review claim form your claim form and supporting documents must be sent or delivered to:
jr1-guidance-eng.txt,l review claim form your claim form and supporting documents must be sent or delivered to:
jrc1-notes-eng_doc.txt,"of truth, claim for judicial review and supporting documents if you are an individual you "
mps-expenses-notice-of-appeal-eng.txt, (not both) this completed form and any supporting documents to: email: taxappeals@hmcts.g
n161-bil.txt,dran 10tystiolaeth i gefnogi section 11 supporting documentsthree copies of the appellants
n161-eng.txt,ction 11 evidence in support section 12 supporting documents to support your appeal you sh
n161a-bil.txt,olaeth a ddarperir gennych. section 11: supporting documents do not delay filing your appe
n161a-eng.txt,any evidence you provide. 12section 12: supporting documents do not delay ling your appell
n161a-eng.txt,appellants notice and copies of all the supporting documents to the appeal court ofce with
n161c-bil.txt,rt any evidence you provide.section 11: supporting documentsdo not delay filing your appel
n161c-eng.txt,t any evidence you provide.9section 11: supporting documents do not delay filing your appe
n161d-eng.txt,d to a term of imprisonment.section 11: supporting documents do not delay filing your appe
n162-eng.txt,upport of this application:- section 10 supporting documents please tick the papers you ar
n208pc-eng.txt, any you will be ling later. section 10 supporting documents detailed statement of grounds
n244-nodiadau-n244-notes-bil.txt,"e or an application for fee concession, supporting documentation. you will need to submit "
n244-notes-eng.txt,"fee or an application for fee remission,supporting documentation. you will need to submit "
n379-bil.txt, additional copy of the application and supporting documents to be returned for service. n
n379-eng.txt, additional copy of the application and supporting documents to be returned for service. w
n380-eng.txt, additional copy of the application and supporting documents to be returned for service. w
n461-bil.txt,sh to make an application for:section 10supporting documentsif you do not have a document 
n461-eng.txt,ded attachedincluded attachedsection 10 supporting documents included attachedincluded att
n461-nodiadau-n461-notes-bil.txt,at each point to any documents section 9supporting documents documents listed in this sect
n461-notes-eng.txt,efer at each point your claim section 10supporting documents review. if you have not been 
n461pc-eng.txt,ded attachedincluded attachedsection 10 supporting documents included attachedincluded att
pa1s-bil.txt,f and send it with your payment and any supporting documents to:the postal searches and co
pa2-eng.txt," it will involve completing a form with supporting documents, and swearing an oath in supp"
send1a-eng.txt," in lieu, please send us a copy and any supporting documents, including any reports that f"
send25-eng.txt,"gistered, a copy of the appeal form and supporting documents are sent to the local authori"
send27-eng.txt,the la receive a copy of the appeal and supporting documents at registration. they will al
send7-eng.txt,rties comments on your request) and any supporting documents to: the tribunal; and the oth
t003-eng.txt," this application relates and any other supporting documents, to: first-tier tribunal (cha"
t005-eng.txt," this application relates and any other supporting documents, to: first-tier tribunal (cha"
t006-eng.txt," this application relates and any other supporting documents, to:first-tier tribunal (char"
t108a-eng.txt,ion b: the original decision letter and supporting documents; section c: the respondents w
t12-eng.txt," this application relates and any other supporting documents, to: general regulatory chamb"
t211-bil.txt, 5 adran 5 dogfennau ategol section 5 - supporting documents rhaid ichi anfon y rhybudd ap
t240-eng.txt, (not both) this completed form and any supporting documents to: email: taxappeals@hmcts.g
t245-eng.txt, (not both) this completed form and any supporting documents to: email: taxappeals@hmcts.g
t440-eng.txt," notice of appeal submitted without the supporting documentation, or a written explanation"
t440-eng.txt,"ete and/or received without the correct supporting documentation, it will be considered no"
t450-eng.txt,"d the form, it should be sent, with all supporting documentation to: grp po box 9300 leice"
t453-eng.txt,"d the form, it should be sent, with all supporting documentation to:grp po box 9300 you ar"
t464-eng.txt,"d the form, it should be sent, with all supporting documentation to:grp po box 9300 leices"
t470-eng.txt,NA
t470-eng.txt,nt by email and it is necessary to send supporting documents in hard copy form they should
t470-eng.txt,py of the glaas reply together with any supporting documents. you will be asked at this st
t480-eng.txt,ed attached included attached section 9 supporting documents included attached included at
t481-notes-eng.txt,ing in support of your claim. section 9 supporting documents if you have not been able to 
t495-eng.txt,ch you should include when sending your supporting documents to hm courts & tribunals serv
t495-eng.txt,"ne, send in any additional evidence and supporting documents as soon as possible). if you "
t608-eng.txt,NA
t614-eng.txt,"e application for permission to appeal, supporting documents and the application fee to th"
t615-eng.txt,"etes and returns notice of appeal form, supporting documents, statement of case and the lo"
t616-eng.txt,"pies of the notice of reference and the supporting documents, including a statement of cas"
t617-eng.txt,"he applicant sends the application, its supporting documents and the lodging fee to the tr"
t622-eng.txt,variation request (07.15) page 2 of 2 9 supporting documentation for variation. alternativ
t97-eng.txt,NA
t98-eng_doc.txt,oon as the hearing date has been set. 8 supporting document please list any documents that
